lesson,order,title,jlpt,type,pattern,meaning_vi,usage,notes,examples,quiz
6,4,Trợ từ と (Làm cùng ai),N5,basic,N (người) と Vます,Làm V cùng với N,Dùng để chỉ đối tượng cùng thực hiện hành động với mình.,Câu hỏi dùng だれと (với ai). Nếu làm một mình dùng cụm từ 一人で (hitori de).,"[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は""}, {""kanji"": ""友達"", ""reading"": ""ともだち""}, {""text"": ""と""}, {""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ""}, {""kanji"": ""来"", ""reading"": ""き""}, {""text"": ""ました。""}], ""vi"": ""Tôi đã đến Nhật cùng với bạn.""}, {""segments"": [{""kanji"": ""一人"", ""reading"": ""ひとり""}, {""text"": ""で""}, {""kanji"": ""病院"", ""reading"": ""びょういん""}, {""text"": ""へ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きました。""}], ""vi"": ""Tôi đã đi bệnh viện một mình.""}]","[{""question"": {""segments"": [{""text"": ""Tôi đi Nhật cùng gia đình : ""}, {""kanji"": ""家族"", ""reading"": ""かぞく""}, {""text"": "" ___ ""}, {""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}]}, ""choices"": [""と"", ""に"", ""で""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""Tôi đi một mình : ___ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}]}, ""choices"": [""一人の"", ""一人で"", ""一つで""], ""answer"": 1}, {""question"": {""segments"": [{""text"": "" ___ ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""りますか。... ""}, {""kanji"": ""恋人"", ""reading"": ""こいびと""}, {""text"": ""と""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""ります。""}]}, ""choices"": [""なにで"", ""だれと"", ""いつ""], ""answer"": 1}]"
7,1,Tha động từ và trợ từ を,N5,basic,N を Vます,Làm V tác động lên N,Dùng để chỉ đối tượng chịu tác động trực tiếp của hành động.,"N là danh từ chỉ đối tượng, V là tha động từ.","[{""segments"": [{""text"": ""パンを""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べます。""}], ""vi"": ""Tôi ăn bánh mì.""}, {""segments"": [{""kanji"": ""手紙"", ""reading"": ""てがみ""}, {""text"": ""を""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きます。""}], ""vi"": ""Tôi viết thư.""}]","[{""question"": {""segments"": [{""text"": ""わたしは パン ___ ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べます。""}]}, ""choices"": [""を"", ""は"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""なに ___ しますか。""}]}, ""choices"": [""を"", ""が"", ""も""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""魚"", ""reading"": ""さかな""}, {""text"": "" ___ ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""いました。""}]}, ""choices"": [""を"", ""へ"", ""に""], ""answer"": 0}]"
7,2,Phủ định hoàn toàn với なにも,N5,basic,なにも Vません,Không làm gì cả,Dùng để phủ định hoàn toàn hành động.,"Thường dùng để trả lời cho câu hỏi ""Làm gì?"" khi không thực hiện gì cả.","[{""segments"": [{""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""もしません。""}], ""vi"": ""Tôi không làm gì cả.""}, {""segments"": [{""kanji"": ""今朝"", ""reading"": ""けさ""}, {""text"": ""、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""も""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べませんでした。""}], ""vi"": ""Sáng nay tôi đã không ăn gì cả.""}]","[{""question"": {""segments"": [{""text"": ""あした、なに ___ しません。""}]}, ""choices"": [""も"", ""を"", ""は""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""今朝"", ""reading"": ""けさ""}, {""text"": ""、なに ___ ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べませんでした。""}]}, ""choices"": [""も"", ""は"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""きのう、だれ ___ ""}, {""kanji"": ""会"", ""reading"": ""あ""}, {""text"": ""いませんでした。""}]}, ""choices"": [""も"", ""が"", ""に""], ""answer"": 0}]"
7,3,Trợ từ で chỉ địa điểm hành động,N5,basic,N (địa điểm) で Vます,Làm gì ở đâu,Dùng để diễn tả nơi mà một hành động cụ thể diễn ra.,Câu hỏi địa điểm thực hiện hành động dùng どこで.,"[{""segments"": [{""text"": ""レストランでごはんを""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べました。""}], ""vi"": ""Tôi đã ăn cơm ở nhà hàng.""}, {""segments"": [{""text"": ""ズン""}, {""kanji"": ""森"", ""reading"": ""もり""}, {""text"": ""で""}, {""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""を""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""します。""}], ""vi"": ""Tôi học tiếng Nhật ở Dũng Mori.""}]","[{""question"": {""segments"": [{""text"": ""どこ ___ ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""しますか。""}]}, ""choices"": [""で"", ""に"", ""へ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""スーパー ___ ""}, {""kanji"": ""肉"", ""reading"": ""にく""}, {""text"": ""を ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""いました。""}]}, ""choices"": [""で"", ""へ"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""学校"", ""reading"": ""がっこう""}, {""text"": "" ___ テニスを します。""}]}, ""choices"": [""で"", ""に"", ""を""], ""answer"": 0}]"
7,4,Mẫu câu rủ rê ませんか,N5,basic,Vませんか,Cùng làm V với mình chứ?,Dùng khi muốn mời mọc hoặc rủ rê ai đó cùng thực hiện hành động.,Trả lời đồng ý: ええ、いいですね。 Từ chối khéo: すみません、ちょっと....,"[{""jp"": ""一緒に 昼ご飯を 食べませんか。"", ""vi"": ""Cùng ăn trưa với mình nhé?""}, {""jp"": ""一緒に ビールを 飲みませんか。"", ""vi"": ""Cùng uống bia với mình không?""}]","[{""question"": {""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に お""}, {""kanji"": ""酒"", ""reading"": ""さけ""}, {""text"": ""を ___ か。""}]}, ""choices"": [""飲みません"", ""飲みます"", ""飲みましょう""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に ""}, {""kanji"": ""食事"", ""reading"": ""しょくじ""}, {""text"": "" ___ か。""}]}, ""choices"": [""しません"", ""します"", ""しました""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に""}, {""kanji"": ""写真"", ""reading"": ""しゃしん""}, {""text"": ""を""}, {""kanji"": ""撮"", ""reading"": ""と""}, {""text"": ""りませんか。...ええ、___ 。""}]}, ""choices"": [""いいですね"", ""いけません"", ""ちがいます""], ""answer"": 0}]"
7,5,Mẫu câu đề nghị ましょう,N5,basic,Vましょう,Làm V thôi / Cùng làm V nào,Dùng để hô hào mọi người cùng làm hoặc đáp lại lời mời một cách chủ động.,Mang tính thúc giục hoặc khẳng định việc sẽ cùng làm cao hơn ませんか.,"[{""jp"": ""一緒に 写真を 撮りましょう。"", ""vi"": ""Cùng chụp ảnh nào!""}, {""jp"": ""ええ、飲みましょう。"", ""vi"": ""Vâng, cùng uống thôi.""}]","[{""question"": {""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に ""}, {""kanji"": ""映画"", ""reading"": ""えいが""}, {""text"": ""を ___ 。""}]}, ""choices"": [""見ましょう"", ""見ました"", ""見ません""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に ""}, {""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ ___ 。""}]}, ""choices"": [""行きましょう"", ""いきました"", ""行きません""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に すしを ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べませんか。...ええ、___ 。""}]}, ""choices"": [""食べましょう"", ""食べません"", ""食べました""], ""answer"": 0}]"
8,1,"Trợ từ で chỉ công cụ, phương tiện",N5,basic,N (công cụ) で Vます,Làm V bằng N,"Diễn tả việc thực hiện hành động bằng phương tiện, công cụ hoặc ngôn ngữ nào đó.",Câu hỏi dùng từ để hỏi なにで (bằng cái gì).,"[{""jp"": ""はしで 食べます。"", ""vi"": ""Tôi ăn bằng đũa.""}, {""jp"": ""日本語で レポートを 書きます。"", ""vi"": ""Tôi viết báo cáo bằng tiếng Nhật.""}]","[{""question"": {""segments"": [{""text"": ""なに ___ ""}, {""kanji"": ""漢字"", ""reading"": ""かんじ""}, {""text"": ""を""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きますか。""}]}, ""choices"": [""で"", ""を"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": "" ___ ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""します。""}]}, ""choices"": [""を"", ""で"", ""は""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""なに""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": "" ___ ""}, {""kanji"": ""手紙"", ""reading"": ""てがみ""}, {""text"": ""を""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きますか。""}]}, ""choices"": [""で"", ""に"", ""を""], ""answer"": 0}]"
8,2,Hỏi ý nghĩa từ vựng bằng ngôn ngữ khác,N5,basic,(Từ/Câu) は ～語で 何ですか,Từ/Câu trong tiếng ~ là gì?,Dùng khi muốn biết một từ hoặc một đồ vật trong tiếng nước khác được gọi là gì.,Trả lời bằng cách nêu trực tiếp từ đó + です.,"[{""jp"": ""「ありがとう」は ベトナム語で 何ですか。"", ""vi"": ""'Arigatou' trong tiếng Việt là gì?""}, {""jp"": ""これは 英語で 何ですか。"", ""vi"": ""Cái này trong tiếng Anh là gì?""}]","[{""question"": {""segments"": [{""text"": ""「ありがとう」は ベトナム""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": "" ___ “cảm ơn”です。""}]}, ""choices"": [""で"", ""は"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""これは ""}, {""kanji"": ""英語"", ""reading"": ""えいご""}, {""text"": "" ___ ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""ですか。""}]}, ""choices"": [""に"", ""で"", ""を""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""“Tết”は ""}, {""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""で ___ ですか。""}]}, ""choices"": [""なん"", ""だれ"", ""どこ""], ""answer"": 0}]"
8,3,Cấu trúc Cho/Tặng (A tặng B cái gì),N5,basic,A は B に N を あげます/貸します...,A tặng/cho B cái gì đó,"Diễn tả hành động tặng, cho mượn, dạy hoặc gửi đồ vật/thông tin từ A đến B.",Trợ từ に đứng sau danh từ chỉ người nhận.,"[{""jp"": ""誕生日に 母に 花を あげます。"", ""vi"": ""Tôi tặng hoa cho mẹ vào ngày sinh nhật.""}, {""jp"": ""先生に メールを 送ります。"", ""vi"": ""Tôi gửi email cho thầy giáo.""}]","[{""question"": {""segments"": [{""text"": ""だれ ___ ""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""を""}, {""kanji"": ""貸"", ""reading"": ""か""}, {""text"": ""しましたか。""}]}, ""choices"": [""に"", ""を"", ""で""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""母"", ""reading"": ""はは""}, {""text"": "" ___ ""}, {""kanji"": ""花"", ""reading"": ""はな""}, {""text"": ""をあげます。""}]}, ""choices"": [""に"", ""は"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""山田"", ""reading"": ""やまだ""}, {""text"": ""さんは ミーさん ___ ""}, {""kanji"": ""辞書"", ""reading"": ""じしょ""}, {""text"": ""をあげます。""}]}, ""choices"": [""に"", ""で"", ""を""], ""answer"": 0}]"
8,4,Cấu trúc Nhận (A nhận từ B cái gì),N5,basic,A は B に (から) N を もらいます/借ります...,A nhận từ B cái gì đó,"Diễn tả hành động nhận, mượn hoặc học được điều gì đó từ người khác.",Có thể thay trợ từ に bằng から khi nhận từ một tổ chức hoặc người không quá thân thiết.,"[{""jp"": ""私は 母に シャツを もらいます。"", ""vi"": ""Tôi nhận được cái áo sơ mi từ mẹ.""}, {""jp"": ""パクさんは 会社から メールを もらいます。"", ""vi"": ""Anh Pak nhận được email từ công ty.""}]","[{""question"": {""segments"": [{""text"": ""だれ ___ ""}, {""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""を""}, {""kanji"": ""習"", ""reading"": ""なら""}, {""text"": ""いますか。""}]}, ""choices"": [""に"", ""を"", ""で""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""会社"", ""reading"": ""かいしゃ""}, {""text"": "" ___ メールをもらいます。""}]}, ""choices"": [""から"", ""を"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は ""}, {""kanji"": ""山田"", ""reading"": ""やまだ""}, {""text"": ""さん ___ ""}, {""kanji"": ""借"", ""reading"": ""か""}, {""text"": ""りました。""}]}, ""choices"": [""に"", ""を"", ""へ""], ""answer"": 0}]"
8,5,Câu hỏi hoàn thành với もう,N5,basic,もう Vましたか,Đã làm V rồi phải không?,Dùng để hỏi xem một hành động nào đó đã được thực hiện xong chưa.,"Trả lời: はい、もう Vました (Vâng, đã rồi) hoặc いいえ、まだです (Chưa, vẫn chưa).","[{""jp"": ""もう 朝ごはんを 食べましたか。"", ""vi"": ""Bạn đã ăn sáng chưa?""}, {""jp"": ""いいえ、まだです。これから 食べます。"", ""vi"": ""Chưa, bây giờ tôi sẽ ăn.""}]","[{""question"": {""segments"": [{""text"": ""もう ""}, {""kanji"": ""宿題"", ""reading"": ""しゅくだい""}, {""text"": ""を ___ か。""}]}, ""choices"": [""しました"", ""します"", ""しません""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""いいえ、___ です。""}]}, ""choices"": [""まだ"", ""もう"", ""はじめ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""はい、 ___ ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べました。""}]}, ""choices"": [""もう"", ""まだ"", ""また""], ""answer"": 0}]"
9,1,N có/biết cái gì,N5,basic,N が あります ／ わかります,Có N / Biết (hiểu) N,Dùng để nói về quyền sở hữu (đồ vật) hoặc khả năng hiểu biết kiến thức.,Trợ từ が được dùng với các động từ chỉ trạng thái/sở hữu thay vì を.,"[{""jp"": ""私は 日本語が わかります。"", ""vi"": ""Tôi hiểu tiếng Nhật.""}, {""jp"": ""彼は 日本のカメラが あります。"", ""vi"": ""Anh ấy có máy ảnh của Nhật.""}]","[{""question"": {""segments"": [{""kanji"": ""英語"", ""reading"": ""えいご""}, {""text"": "" ___ ""}, {""kanji"": ""分"", ""reading"": ""わか""}, {""text"": ""りますか。""}]}, ""choices"": [""を"", ""が"", ""に""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""パソコン ___ ありますか。""}]}, ""choices"": [""が"", ""を"", ""は""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は ""}, {""kanji"": ""漢字"", ""reading"": ""かんじ""}, {""text"": "" ___ ""}, {""kanji"": ""分"", ""reading"": ""わか""}, {""text"": ""りません。""}]}, ""choices"": [""が"", ""を"", ""に""], ""answer"": 0}]"
9,2,"Thích, ghét, giỏi, kém",N5,basic,N が 好き/嫌い/上手/下手 です,Thích / Ghét / Giỏi / Kém N,"Diễn tả tâm trạng, sở thích hoặc năng lực của một người đối với một đối tượng.",Đối tượng của các tính từ này luôn đi kèm với trợ từ が.,"[{""jp"": ""小山さんは サッカーが 好きです。"", ""vi"": ""Anh Koyama thích bóng đá.""}, {""jp"": ""田中先生は 料理が 上手です。"", ""vi"": ""Thầy Tanaka nấu ăn giỏi.""}]","[{""question"": {""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""は ""}, {""kanji"": ""日本料理"", ""reading"": ""にほんりょうり""}, {""text"": "" ___ ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きです。""}]}, ""choices"": [""を"", ""に"", ""が""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""夫"", ""reading"": ""おっと""}, {""text"": ""は ""}, {""kanji"": ""歌"", ""reading"": ""うた""}, {""text"": "" ___ ""}, {""kanji"": ""下手"", ""reading"": ""へた""}, {""text"": ""です。""}]}, ""choices"": [""が"", ""を"", ""は""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""野菜"", ""reading"": ""やさい""}, {""text"": "" ___ ""}, {""kanji"": ""嫌"", ""reading"": ""きら""}, {""text"": ""いです。""}]}, ""choices"": [""が"", ""を"", ""に""], ""answer"": 0}]"
9,3,Câu hỏi với どんな,N5,basic,どんな N,N nào? / N như thế nào?,Dùng để yêu cầu người nghe chọn hoặc nêu tên cụ thể của một vật trong một nhóm loại hình.,Câu trả lời thường nêu đích danh tên của đối tượng thuộc nhóm N đó.,"[{""jp"": ""どんな 飲み物が 好きですか。...ビールが 好きです。"", ""vi"": ""Bạn thích đồ uống nào? ...Tôi thích bia.""}, {""jp"": ""どんな スポーツが 上手ですか。"", ""vi"": ""Bạn giỏi môn thể thao nào?""}]","[{""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べ""}, {""kanji"": ""物"", ""reading"": ""もの""}, {""text"": ""が ""}, {""kanji"": ""嫌"", ""reading"": ""きら""}, {""text"": ""いですか。""}]}, ""choices"": [""どの"", ""どんな"", ""どう""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""___ スポーツが ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きですか。...テニスが""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きです。""}]}, ""choices"": [""なん"", ""どこ"", ""どんな""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""音楽"", ""reading"": ""おんがく""}, {""text"": ""が""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きですか。""}]}, ""choices"": [""どんな"", ""なん"", ""なに""], ""answer"": 0}]"
9,4,Phó từ chỉ mức độ và số lượng,N5,basic,よく/だいたい/たくさん/少し/あまり/全然,Rất / Đại khái / Nhiều / Một ít / Không... lắm / Hoàn toàn không...,Dùng để bổ nghĩa cho động từ hoặc tính từ nhằm làm rõ mức độ hoặc số lượng.,あまり và 全然 (ぜんぜん) bắt buộc phải đi cùng với thể phủ định.,"[{""jp"": ""日本語が よく 分かります。"", ""vi"": ""Tôi hiểu rõ tiếng Nhật.""}, {""jp"": ""お金が たくさん あります。"", ""vi"": ""Tôi có nhiều tiền.""}]","[{""question"": {""segments"": [{""kanji"": ""御"", ""reading"": ""お""}, {""kanji"": ""金"", ""reading"": ""かね""}, {""text"": ""が ___ あります。""}]}, ""choices"": [""よく"", ""たくさん"", ""だいたい""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""英語"", ""reading"": ""えいご""}, {""text"": ""が ___ ""}, {""kanji"": ""分"", ""reading"": ""わか""}, {""text"": ""りません。""}]}, ""choices"": [""あまり"", ""たくさん"", ""だいたい""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""時間"", ""reading"": ""じかん""}, {""text"": ""が ___ ありません。""}]}, ""choices"": [""よく"", ""少し"", ""全然""], ""answer"": 2}]"
9,5,Vì... nên...,N5,basic,S1 から、S2,Vì S1 nên S2,"Dùng để nối hai câu, trong đó S1 nêu lên nguyên nhân, lý do cho kết quả ở S2.","Có thể dùng để trả lời câu hỏi lý do bằng cách kết thúc câu với ""～から"".","[{""jp"": ""時間が ありませんから、サッカーを しません。"", ""vi"": ""Vì không có thời gian nên tôi không chơi bóng đá.""}, {""jp"": ""暑いですから、アイスを食べます。"", ""vi"": ""Vì nóng nên tôi ăn kem.""}]","[{""question"": {""segments"": [{""kanji"": ""用事"", ""reading"": ""ようじ""}, {""text"": ""が あります ___ 、""}, {""kanji"": ""早"", ""reading"": ""はや""}, {""text"": ""く ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""ります。""}]}, ""choices"": [""が"", ""から"", ""そして""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""が ""}, {""kanji"": ""下手"", ""reading"": ""へた""}, {""text"": ""です ___ 、たくさん ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""します。""}]}, ""choices"": [""から"", ""が"", ""も""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""寒"", ""reading"": ""さむ""}, {""text"": ""い ___ 、""}, {""kanji"": ""窓"", ""reading"": ""まど""}, {""text"": ""を""}, {""kanji"": ""閉"", ""reading"": ""し""}, {""text"": ""めます。""}]}, ""choices"": [""ので"", ""から"", ""が""], ""answer"": 1}]"
9,6,"Hỏi lý do ""Tại sao?""",N5,basic,どうして ... か,Tại sao?,Dùng khi muốn hỏi về nguyên nhân hoặc lý do của một sự việc.,"Khi trả lời, bắt buộc phải có から ở cuối câu trả lời.","[{""jp"": ""どうして 昨日 休みましたか。"", ""vi"": ""Tại sao hôm qua anh nghỉ?""}, {""jp"": ""どうして 日本語を 勉強しますか。"", ""vi"": ""Tại sao anh học tiếng Nhật?""}]","[{""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""学校"", ""reading"": ""がっこう""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きませんか。""}]}, ""choices"": [""なん"", ""どうやって"", ""どうして""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""A: どうしてですか. B: お""}, {""kanji"": ""金"", ""reading"": ""かね""}, {""text"": ""が ありません ___ 。""}]}, ""choices"": [""から"", ""が"", ""です""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""___ ""}, {""kanji"": ""漢字"", ""reading"": ""かんじ""}, {""text"": ""を ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""いませんでしたか。""}]}, ""choices"": [""なん"", ""どうして"", ""どの""], ""answer"": 1}]"
10,1,Danh từ chỉ vị trí,N5,basic,N1 の N2 (vị trí),[Vị trí] của N1,Dùng để xác định vị trí tương đối của một vật so với vật khác.,"N2 là các danh từ chỉ vị trí như: うえ (trên), した (dưới), なか (trong), そto (ngoài), まえ (trước), うしろ (sau), みぎ (phải), ひだり (trái), あいだ (giữa).","[{""jp"": ""教室の中"", ""vi"": ""Trong lớp học""}, {""jp"": ""机の下"", ""vi"": ""Dưới cái bàn""}]","[{""question"": {""segments"": [{""text"": ""'Bên trái' trong tiếng Nhật là gì?""}]}, ""choices"": [""みぎ"", ""ひだり"", ""なか""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""'Dưới cái bàn' là gì?""}]}, ""choices"": [""つくえ の うえ"", ""つくえ の した"", ""つくえ の なか""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""ぎんこう ___ となり (Bên cạnh ngân hàng).""}]}, ""choices"": [""は"", ""の"", ""に""], ""answer"": 1}]"
10,2,Sự tồn tại (Có N ở địa điểm),N5,basic,[Địa điểm] に N が あります / います。,Có N ở [địa điểm],Dùng để nói về sự tồn tại của đồ vật hoặc con người/động vật tại một nơi nào đó.,"あります: dùng cho đồ vật, thực vật. います: dùng cho người và động vật.","[{""jp"": ""教室の中に 学生が います。"", ""vi"": ""Trong lớp học có học sinh.""}, {""jp"": ""机の上に 傘が あります。"", ""vi"": ""Trên bàn có cái ô.""}]","[{""question"": {""segments"": [{""kanji"": ""机"", ""reading"": ""つくえ""}, {""text"": ""の""}, {""kanji"": ""上"", ""reading"": ""うえ""}, {""text"": ""に ""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": "" ___ あります。""}]}, ""choices"": [""は"", ""が"", ""を""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""教室"", ""reading"": ""きょうしつ""}, {""text"": ""に ""}, {""kanji"": ""先生"", ""reading"": ""せんせい""}, {""text"": "" ___ います。""}]}, ""choices"": [""が"", ""を"", ""に""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""部屋"", ""reading"": ""へや""}, {""text"": ""に なに ___ ありますか。""}]}, ""choices"": [""が"", ""も"", ""は""], ""answer"": 0}]"
10,3,Vị trí của chủ ngữ (N1 ở tại N2),N5,basic,N1 は N2 (Địa điểm) に あります／います。,N1 ở tại N2,Dùng khi muốn nhấn mạnh địa điểm tồn tại của một đối tượng cụ thể.,"Câu hỏi vị trí: Hỏi người/động vật dùng どこに いますか, hỏi vật dùng どこに ありますか.","[{""jp"": ""田中さんは どこに いますか。"", ""vi"": ""Anh Tanaka ở đâu?""}, {""jp"": ""ミラーさんは 事務所に います。"", ""vi"": ""Anh Miller ở văn phòng.""}]","[{""question"": {""segments"": [{""kanji"": ""田中"", ""reading"": ""たなか""}, {""text"": ""さんは どこ ___ いますか。""}]}, ""choices"": [""に"", ""を"", ""で""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""鞄"", ""reading"": ""かばん""}, {""text"": ""は つくえの ___ あります。""}]}, ""choices"": [""うえで"", ""うえに"", ""うえを""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""銀行"", ""reading"": ""ぎんこう""}, {""text"": "" ___ あちらに あります。""}]}, ""choices"": [""は"", ""が"", ""も""], ""answer"": 0}]"
10,4,Trợ từ liệt kê や,N5,basic,N1 や N2 [など],"Nào là N1, nào là N2...",Dùng khi liệt kê các danh từ tiêu biểu mang tính tượng trưng (liệt kê không hết).,Thường đi kèm với など (vân vân) ở sau danh từ cuối cùng.,"[{""jp"": ""机の上に 本や 時計が あります。"", ""vi"": ""Trên bàn có nào là sách, nào là đồng hồ.""}, {""jp"": ""パンや 肉などを 食べます。"", ""vi"": ""Tôi ăn nào là bánh mì, nào là thịt.""}]","[{""question"": {""segments"": [{""text"": ""かばんの""}, {""kanji"": ""中"", ""reading"": ""なか""}, {""text"": ""に ""}, {""kanji"": ""財布"", ""reading"": ""さいふ""}, {""text"": "" ___ ""}, {""kanji"": ""携帯"", ""reading"": ""けいたい""}, {""text"": ""が あります (Nào là ví, nào là điện thoại).""}]}, ""choices"": [""と"", ""や"", ""も""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""スーパーで ""}, {""kanji"": ""野菜"", ""reading"": ""やさい""}, {""text"": "" ___ ""}, {""kanji"": ""果物"", ""reading"": ""くだもの""}, {""text"": ""などを ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""いました。""}]}, ""choices"": [""や"", ""を"", ""は""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""冷蔵庫"", ""reading"": ""れいぞうこ""}, {""text"": ""に ""}, {""kanji"": ""卵"", ""reading"": ""たまご""}, {""text"": "" ___ ""}, {""kanji"": ""肉"", ""reading"": ""にく""}, {""text"": ""などが あります。""}]}, ""choices"": [""と"", ""や"", ""に""], ""answer"": 1}]"
