title,lessonId,jlpt,turns
Nhờ đọc chữ Hán,14,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""すみませんが、この ""}, {""kanji"": ""漢字"", ""reading"": ""かんじ""}, {""text"": "" を ""}, {""kanji"": ""読"", ""reading"": ""よ""}, {""text"": ""んでください。""}], ""vi"": ""Xin lỗi, hãy đọc giúp tôi chữ Hán này.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、わかりました。""}], ""vi"": ""Vâng, tôi hiểu rồi.""}]"
Đề nghị gọi taxi,14,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""タクシーを ""}, {""kanji"": ""呼"", ""reading"": ""よ""}, {""text"": ""びましょうか。""}], ""vi"": ""Tôi gọi taxi giúp bạn nhé?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、お""}, {""kanji"": ""願"", ""reading"": ""ねが""}, {""text"": ""いします。""}], ""vi"": ""Vâng, nhờ anh/chị.""}]"
Tình hình thời tiết,14,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""いま、""}, {""kanji"": ""雨"", ""reading"": ""あめ""}, {""text"": "" が ""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""っていますか？""}], ""vi"": ""Bây giờ trời có đang mưa không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""いいえ、""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""っていません。""}], ""vi"": ""Không, trời không mưa.""}]"
Xin phép về trước,15,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""すみませんが、""}, {""kanji"": ""先"", ""reading"": ""さき""}, {""text"": ""に ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""ってもいいですか。""}], ""vi"": ""Xin lỗi, tôi về trước có được không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ええ, いいですよ。""}], ""vi"": ""Vâng, được chứ.""}]"
Xin phép đỗ xe,15,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ここに ""}, {""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": ""を ""}, {""kanji"": ""止"", ""reading"": ""と""}, {""text"": ""めてもいいですか。""}], ""vi"": ""Tôi đỗ xe ở đây có được không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""いいえ, ""}, {""kanji"": ""止"", ""reading"": ""と""}, {""text"": ""めてはいけません。""}], ""vi"": ""Không, không được đỗ.""}]"
Việc sau giờ làm,16,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""仕事"", ""reading"": ""しごと""}, {""text"": ""が ""}, {""kanji"": ""終"", ""reading"": ""お""}, {""text"": ""わってから, なにをしますか？""}], ""vi"": ""Sau khi kết thúc công việc, bạn làm gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""友達"", ""reading"": ""ともだち""}, {""text"": ""とコーヒーを""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""みます。""}], ""vi"": ""Tôi uống cà phê cùng bạn bè.""}]"
Thứ tự ăn cơm,16,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""いつ ""}, {""kanji"": ""ご飯"", ""reading"": ""ごはん""}, {""text"": "" を ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べましたか？""}], ""vi"": ""Bạn đã ăn cơm khi nào?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""宿題"", ""reading"": ""しゅくだい""}, {""text"": ""をしてから, ""}, {""kanji"": ""ご飯"", ""reading"": ""ごはん""}, {""text"": ""を""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べました。""}], ""vi"": ""Sau khi làm bài tập thì tôi đã ăn cơm.""}]"
Hỏi về Hà Nội,16,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ハノイはバイクが""}, {""kanji"": ""多"", ""reading"": ""おお""}, {""text"": ""いですか？""}], ""vi"": ""Hà Nội có nhiều xe máy không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい, ハノイはバイクがとても""}, {""kanji"": ""多"", ""reading"": ""おお""}, {""text"": ""いです。""}], ""vi"": ""Vâng, Hà Nội rất nhiều xe máy.""}]"
Yêu cầu không đỗ xe,17,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ここに ""}, {""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": "" を ""}, {""kanji"": ""止"", ""reading"": ""t""}, {""text"": ""めないでください。""}], ""vi"": ""Xin đừng đỗ xe ở đây.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、わかりました。""}], ""vi"": ""Vâng, tôi hiểu rồi.""}]"
Thời hạn nộp báo cáo,17,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""レポートは 5""}, {""kanji"": ""時"", ""reading"": ""じ""}, {""text"": ""までに ""}, {""kanji"": ""送"", ""reading"": ""おく""}, {""text"": ""らなければなりませんか？""}], ""vi"": ""Có phải gửi báo cáo trước 5 giờ không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、5""}, {""kanji"": ""時"", ""reading"": ""じ""}, {""text"": ""までに ""}, {""kanji"": ""送"", ""reading"": ""おく""}, {""text"": ""らなければなりません。""}], ""vi"": ""Vâng, phải gửi trước 5 giờ.""}]"
Yêu cầu nộp tài liệu,17,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""資料"", ""reading"": ""しりょう""}, {""text"": "" を ""}, {""kanji"": ""送"", ""reading"": ""おく""}, {""text"": ""らなければなりませんか？""}], ""vi"": ""Tôi có phải gửi tài liệu không?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""資料"", ""reading"": ""しりょう""}, {""text"": "" は ""}, {""kanji"": ""送"", ""reading"": ""おく""}, {""text"": ""らなくてもいいです。""}], ""vi"": ""Tài liệu thì không cần gửi cũng được.""}]"
Khả năng đọc tiếng Nhật,18,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": "" を ""}, {""kanji"": ""読"", ""reading"": ""よ""}, {""text"": ""むことができますか？""}], ""vi"": ""Bạn có thể đọc được tiếng Nhật không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、できます。""}], ""vi"": ""Vâng, tôi có thể.""}]"
Đặt phòng qua mạng,18,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""インターネットでこのホテルを ""}, {""kanji"": ""予約"", ""reading"": ""よやく""}, {""text"": ""することができますか？""}], ""vi"": ""Có thể đặt trước khách sạn này qua internet không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、できますよ！""}], ""vi"": ""Vâng, có thể đấy!""}]"
Hỏi về sở thích,18,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""趣味"", ""reading"": ""しゅみ""}, {""text"": "" はなんですか？""}], ""vi"": ""Sở thích của bạn là gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""料理"", ""reading"": ""りょうり""}, {""text"": "" をすることです。""}], ""vi"": ""Là việc nấu ăn.""}]"
Chuẩn bị du lịch,18,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""旅行"", ""reading"": ""りょこう""}, {""text"": "" の ""}, {""kanji"": ""前"", ""reading"": ""まえ""}, {""text"": "" に ""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": "" をしますか？""}], ""vi"": ""Trước khi đi du lịch bạn làm gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""新"", ""reading"": ""あたら""}, {""text"": ""しい ""}, {""kanji"": ""服"", ""reading"": ""ふく""}, {""text"": "" を ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""います。""}], ""vi"": ""Tôi mua quần áo mới.""}]"
Kinh nghiệm đi Nhật,19,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""ったことが ありますか？""}], ""vi"": ""Bạn đã từng đi Nhật Bản chưa?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、あります。""}], ""vi"": ""Vâng, tôi đã từng.""}]"
Hoạt động ngày nghỉ,19,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""休"", ""reading"": ""やす""}, {""text"": ""みの ""}, {""kanji"": ""日"", ""reading"": ""ひ""}, {""text"": ""に ""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""を しますか？""}], ""vi"": ""Vào ngày nghỉ bạn làm gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""を ""}, {""kanji"": ""読"", ""reading"": ""よ""}, {""text"": ""んだり、テレビを ""}, {""kanji"": ""見"", ""reading"": ""み""}, {""text"": ""たりします。""}], ""vi"": ""Lúc thì tôi đọc sách, lúc thì xem tivi.""}]"
Cảm thán thời tiết,19,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""寒"", ""reading"": ""さむ""}, {""text"": ""いですね。""}], ""vi"": ""Trời lạnh nhỉ.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""そうですね。""}, {""kanji"": ""寒"", ""reading"": ""さむ""}, {""text"": ""くなりましたね〜。""}], ""vi"": ""Đúng vậy nhỉ. Trời đã trở nên lạnh rồi nhỉ.""}]"
Hỏi bữa trưa,20,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ねえねえ、もう ""}, {""kanji"": ""昼"", ""reading"": ""ひる""}, {""text"": ""ごはん ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べta？""}], ""vi"": ""Này này, cậu đã ăn cơm trưa chưa?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""うん、""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べたよ。""}], ""vi"": ""Ừ, tớ ăn rồi.""}]"
Đánh giá món ăn,20,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""それ、おいしい？""}], ""vi"": ""Cái đó ngon không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""うん、めっちゃおいしいよ！""}], ""vi"": ""Ừ, cực kỳ ngon luôn!""}]"
Hỏi thời gian rảnh,20,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""明日"", ""reading"": ""あした""}, {""text"": ""、ひま？""}], ""vi"": ""Mai cậu rảnh không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""うん、ひま。""}], ""vi"": ""Ừ, tớ rảnh.""}]"
Dự đoán thời tiết,21,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""明日"", ""reading"": ""あした""}, {""kanji"": ""雨"", ""reading"": ""あめ""}, {""text"": "" が ""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""る と ""}, {""kanji"": ""思"", ""reading"": ""おも""}, {""text"": ""いますか？""}], ""vi"": ""Bạn có nghĩ ngày mai trời sẽ mưa không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""る と ""}, {""kanji"": ""思"", ""reading"": ""おも""}, {""text"": ""います。""}], ""vi"": ""Vâng, tôi nghĩ là có.""}]"
Cảm nghĩ về tiếng Nhật,21,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": "" についてどう ""}, {""kanji"": ""思"", ""reading"": ""おも""}, {""text"": ""いますか？""}], ""vi"": ""Bạn nghĩ thế nào về tiếng Nhật?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""難"", ""reading"": ""むずか""}, {""text"": ""しい と ""}, {""kanji"": ""思"", ""reading"": ""おも""}, {""text"": ""います。""}], ""vi"": ""Tôi nghĩ là nó khó.""}]"
Chào hỏi khi ăn,21,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""ご飯"", ""reading"": ""ごはん""}, {""text"": "" を ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べる ""}, {""kanji"": ""前"", ""reading"": ""まえ""}, {""text"": "" に ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": "" と ""}, {""kanji"": ""言"", ""reading"": ""い""}, {""text"": ""いますか？""}], ""vi"": ""Trước khi ăn cơm thì nói gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""「いただきます」 と ""}, {""kanji"": ""言"", ""reading"": ""い""}, {""text"": ""います。""}], ""vi"": ""Nói là 'Itadakimasu'.""}]"
Tác giả bức tranh,22,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""それは ""}, {""kanji"": ""誰"", ""reading"": ""だれ""}, {""text"": "" が ""}, {""kanji"": ""描"", ""reading"": ""か""}, {""text"": ""いた ""}, {""kanji"": ""絵"", ""reading"": ""え""}, {""text"": "" ですか？""}], ""vi"": ""Đó là bức tranh ai đã vẽ vậy?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""これは ""}, {""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": "" が ""}, {""kanji"": ""描"", ""reading"": ""か""}, {""text"": ""いた ""}, {""kanji"": ""絵"", ""reading"": ""え""}, {""text"": "" です。""}], ""vi"": ""Đây là bức tranh tôi đã vẽ.""}]"
Người đeo kính,22,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""あのメガネをかけている ""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": "" はだれですか？""}], ""vi"": ""Người đang đeo kính đằng kia là ai vậy?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""あー、あの ""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": "" はゆかさんです。""}], ""vi"": ""À, người đó là cô Yuka.""}]"
Nơi mua đồng hồ,22,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""それはどこで ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""った ""}, {""kanji"": ""時計"", ""reading"": ""とけい""}, {""text"": "" ですか？""}], ""vi"": ""Đó là chiếc đồng hồ bạn đã mua ở đâu vậy?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""これは ""}, {""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": "" で ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""った ""}, {""kanji"": ""時計"", ""reading"": ""とけい""}, {""text"": "" です。""}], ""vi"": ""Đây là chiếc đồng hồ tôi đã mua ở Nhật Bản.""}]"
Khi không có tiền,23,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""お ""}, {""kanji"": ""金"", ""reading"": ""かね""}, {""text"": "" がない ""}, {""kanji"": ""時"", ""reading"": ""とき""}, {""text"": "" どうしますか？""}], ""vi"": ""Lúc không có tiền bạn làm gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""友"", ""reading"": ""とも""}, {""kanji"": ""達"", ""reading"": ""だち""}, {""text"": "" に お ""}, {""kanji"": ""金"", ""reading"": ""かね""}, {""text"": "" を ""}, {""kanji"": ""借"", ""reading"": ""か""}, {""text"": ""ります。""}], ""vi"": ""Tôi mượn tiền bạn bè.""}]"
Mua đồ khi về nhà,23,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""うちへ ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""る ""}, {""kanji"": ""時"", ""reading"": ""とき""}, {""text"": ""、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": "" を ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""いますか？""}], ""vi"": ""Lúc về nhà bạn mua gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ケーキを ""}, {""kanji"": ""買"", ""reading"": ""か""}, {""text"": ""います。""}], ""vi"": ""Tôi mua bánh ngọt.""}]"
Việc làm khi đến Nhật,23,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""へ ""}, {""kanji"": ""来"", ""reading"": ""き""}, {""text"": ""た ""}, {""kanji"": ""時"", ""reading"": ""とき""}, {""text"": ""、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": "" をしましたか？""}], ""vi"": ""Khi đến Nhật Bản bạn đã làm gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""桜"", ""reading"": ""さくら""}, {""text"": "" を ""}, {""kanji"": ""見"", ""reading"": ""み""}, {""text"": ""ました。""}], ""vi"": ""Tôi đã ngắm hoa anh đào.""}]"
Tiền mừng tuổi hồi nhỏ,24,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""子"", ""reading"": ""こ""}, {""kanji"": ""供"", ""reading"": ""ども""}, {""text"": "" の ""}, {""kanji"": ""時"", ""reading"": ""とき""}, {""text"": ""、だれが お ""}, {""kanji"": ""年"", ""reading"": ""とし""}, {""kanji"": ""玉"", ""reading"": ""だま""}, {""text"": "" をくれましたか？""}], ""vi"": ""Lúc còn nhỏ ai đã tặng tiền mừng tuổi cho bạn?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""母"", ""reading"": ""はは""}, {""text"": "" が お ""}, {""kanji"": ""年"", ""reading"": ""とし""}, {""kanji"": ""玉"", ""reading"": ""だま""}, {""text"": "" をくれました。""}], ""vi"": ""Mẹ tôi đã tặng.""}]"
Người dạy tiếng Nhật,24,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""だれに ""}, {""kanji"": ""日本"", ""reading"": ""にほん""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": "" を ""}, {""kanji"": ""教"", ""reading"": ""おし""}, {""text"": ""えて もらいましたか？""}], ""vi"": ""Bạn được ai dạy tiếng Nhật cho?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ゆか ""}, {""kanji"": ""先生"", ""reading"": ""せんせい""}, {""text"": "" に ""}, {""kanji"": ""日本"", ""reading"": ""にほん""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": "" を ""}, {""kanji"": ""教"", ""reading"": ""おし""}, {""text"": ""えて もらいました。""}], ""vi"": ""Tôi được cô Yuka dạy tiếng Nhật cho.""}]"
Người nấu ăn hàng ngày,24,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""毎日"", ""reading"": ""まいにち""}, {""text"": ""、だれが ""}, {""kanji"": ""料理"", ""reading"": ""りょうり""}, {""text"": "" を ""}, {""kanji"": ""作"", ""reading"": ""つく""}, {""text"": ""ってくれますか？""}], ""vi"": ""Mỗi ngày ai nấu ăn cho bạn?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""夫"", ""reading"": ""おっと""}, {""text"": "" が ""}, {""kanji"": ""料理"", ""reading"": ""りょうり""}, {""text"": "" を ""}, {""kanji"": ""作"", ""reading"": ""つく""}, {""text"": ""提てくれます。""}], ""vi"": ""Chồng tôi nấu ăn cho.""}]"
Việc làm cho bố mẹ,24,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""故郷"", ""reading"": ""ふるさと""}, {""text"": "" へ ""}, {""kanji"": ""帰"", ""reading"": ""かえ""}, {""text"": ""った ""}, {""kanji"": ""時"", ""reading"": ""とき""}, {""text"": ""、""}, {""kanji"": ""両親"", ""reading"": ""りょうしん""}, {""text"": "" に ""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": "" をしてあげますか？""}], ""vi"": ""Khi về quê bạn làm gì cho bố mẹ?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""料理"", ""reading"": ""りょうり""}, {""text"": "" を ""}, {""kanji"": ""作"", ""reading"": ""つく""}, {""text"": ""ってあげます。""}], ""vi"": ""Tôi nấu ăn cho bố mẹ.""}]"
Thời gian đi học,25,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""いつ ""}, {""kanji"": ""学校"", ""reading"": ""がっこう""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか？""}], ""vi"": ""Khi nào bạn đi học?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""昼"", ""reading"": ""ひる""}, {""text"": ""ごはんを ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べてから ""}, {""kanji"": ""学校"", ""reading"": ""がっこう""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}], ""vi"": ""Sau khi ăn cơm trưa xong tôi đi học.""}]"
Dự định sau khóa N5,25,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""このN5の ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""が ""}, {""kanji"": ""終"", ""reading"": ""お""}, {""text"": ""わったらどうしますか？""}], ""vi"": ""Sau khi học xong N5 này bạn sẽ làm gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""N4を ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""します。""}], ""vi"": ""Tôi sẽ học N4.""}]"
Đi chơi dù trời mưa,25,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""雨"", ""reading"": ""あめ""}, {""text"": ""が ""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""っても ""}, {""kanji"": ""遊"", ""reading"": ""あそ""}, {""text"": ""びに ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか？""}], ""vi"": ""Dù trời mưa bạn vẫn đi chơi chứ?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""雨"", ""reading"": ""あめ""}, {""text"": ""が ""}, {""kanji"": ""降"", ""reading"": ""ふ""}, {""text"": ""っても、 ""}, {""kanji"": ""遊"", ""reading"": ""あそ""}, {""text"": ""びに ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}], ""vi"": ""Dù trời mưa tôi vẫn đi chơi.""}]"
Gặp người yêu dù bận,25,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""忙"", ""reading"": ""いそが""}, {""text"": ""しくても、 ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きな ""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""に ""}, {""kanji"": ""会"", ""reading"": ""あ""}, {""text"": ""いたいですか？""}], ""vi"": ""Dù bận rộn bạn vẫn muốn gặp người mình thích chứ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、 ""}, {""kanji"": ""忙"", ""reading"": ""いそが""}, {""text"": ""しくても ""}, {""kanji"": ""会"", ""reading"": ""あ""}, {""text"": ""いたいです。""}], ""vi"": ""Vâng, dù bận tôi vẫn muốn gặp.""}]"
Học dù buồn ngủ,25,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""明日"", ""reading"": ""あした""}, {""text"": ""テストですね。 ""}, {""kanji"": ""眠"", ""reading"": ""ねむ""}, {""text"": ""くても ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""しますか？""}], ""vi"": ""Mai thi rồi nhỉ. Dù buồn ngủ bạn vẫn học chứ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、 ""}, {""kanji"": ""眠"", ""reading"": ""ねむ""}, {""text"": ""くても ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""します。""}], ""vi"": ""Vâng, dù buồn ngủ tôi vẫn học.""}]"
