lesson,word,reading,meaning_vi,meaning_en,type,jlpt
11,試合,しあい,trận đấu,"match, game",Noun,N5
11,どう,どう,như thế nào,how,Adverb,N5
11,好き,すき,thích,like,Na-adjective,N5
11,嫌い,きらい,ghét,dislike,Na-adjective,N5
11,怖い,こわい,đáng sợ,scary,I-adjective,N5
11,天気,てんき,thời tiết,weather,Noun,N5
11,晴れ,はれ,trời nắng,sunny weather,Noun,N5
11,雨,あめ,mưa,rain,Noun,N5
11,雪,ゆき,tuyết,snow,Noun,N5
11,曇り,くもり,nhiều mây,cloudy weather,Noun,N5
11,降る,ふる,rơi (mưa/tuyết),to fall,Verb,N5
11,洗う,あらう,rửa,to wash,Verb,N5
11,弾く,ひく,chơi (nhạc cụ dây),to play (instrument),Verb,N5
11,歌う,うたう,hát,to sing,Verb,N5
11,集める,あつめる,"sưu tầm, tập hợp",to collect,Verb,N5
11,捨てる,すてる,vứt bỏ,to throw away,Verb,N5
11,登る,のぼる,"leo, trèo",to climb,Verb,N5
11,遊ぶ,あそぶ,chơi,to play,Verb,N5
11,泳ぐ,およぐ,bơi,to swim,Verb,N5
12,簡単 [な],かんたん [な],đơn giản,"easy, simple",Na-adjective,N5
12,近い,ちかい,gần,near,I-adjective,N5
12,遠い,とおい,xa,far,I-adjective,N5
12,早い,はやい,"sớm, nhanh","early, fast",I-adjective,N5
12,速い,はやい,nhanh,fast,I-adjective,N5
12,多い,おおい,nhiều,"many, much",I-adjective,N5
12,少ない,すくない,ít,"few, little",I-adjective,N5
12,暖かい,あたたかい,ấm áp,warm,I-adjective,N5
12,涼しい,すずしい,mát mẻ,cool,I-adjective,N5
12,甘い,あまい,ngọt,sweet,I-adjective,N5
12,辛い,からい,cay,spicy,I-adjective,N5
12,重い,おもい,nặng,heavy,I-adjective,N5
12,軽い,かるい,nhẹ,light,I-adjective,N5
12,季節,きせつ,mùa,season,Noun,N5
12,春,はる,mùa xuân,spring,Noun,N5
12,夏,なつ,mùa hè,summer,Noun,N5
12,秋,あき,mùa thu,autumn,Noun,N5
12,冬,ふゆ,mùa đông,winter,Noun,N5
12,気候,きこう,khí hậu,climate,Noun,N5
12,景色,けしき,phong cảnh,scenery,Noun,N5
12,旅行,りょこう,du lịch,travel,Noun,N5
12,お祭り,おまつり,lễ hội,festival,Noun,N5
12,お寺,おてら,chùa,temple,Noun,N5
12,神社,じんじゃ,đền thần đạo,shrine,Noun,N5
12,食べ物,たべもの,đồ ăn,food,Noun,N5
12,飲み物,のみもの,đồ uống,"drink, beverage",Noun,N5
12,着物,きもの,kimono,kimono,Noun,N5
12,スポーツ,スポーツ,thể thao,sports,Noun,N5
12,サービス,サービス,dịch vụ,service,Noun,N5
12,サークル,サークル,câu lạc bộ,"club, circle",Noun,N5
12,テスト,テスト,bài kiểm tra,test,Noun,N5
12,練習,れんしゅう,luyện tập,practice,Noun,N5
12,生活,せいかつ,cuộc sống,"life, living",Noun,N5
12,仕事,しごと,công việc,"work, job",Noun,N5
12,勉強,べんきょう,học tập,study,Noun,N5
12,住む,すむ,"sống, cư trú",to live,Verb,N5
12,働く,はたらく,làm việc,to work,Verb,N5
12,勉強する,べんきょうする,học,to study,Verb,N5
12,旅行する,りょこうする,du lịch,to travel,Verb,N5
12,一番,いちばん,nhất,"most, best",Adverb,N5
12,どちら,どちら,"bên nào, cái nào",which,Pronoun,N5
12,どちらも,どちらも,cái nào cũng,both,Pronoun,N5
13,遅い,おそい,"chậm, muộn","slow, late",I-adjective,N5
13,狭い,せまい,hẹp,narrow,I-adjective,N5
13,広い,ひろい,rộng,"wide, spacious",I-adjective,N5
13,長い,ながい,dài,long,I-adjective,N5
13,短い,みじかい,ngắn,short,I-adjective,N5
13,背が高い,せがたかい,cao (người),tall,Expression,N5
13,背が低い,せがひくい,thấp (người),short (height),Expression,N5
13,頭がいい,あたまがいい,thông minh,"smart, intelligent",Expression,N5
13,髪,かみ,tóc,hair,Noun,N5
13,目,め,mắt,eye,Noun,N5
13,耳,みみ,tai,ear,Noun,N5
13,口,くち,miệng,mouth,Noun,N5
13,顔,かお,khuôn mặt,face,Noun,N5
13,体,からだ,cơ thể,body,Noun,N5
13,頭,あたま,đầu,head,Noun,N5
13,手,て,tay,hand,Noun,N5
13,足,あし,chân,"leg, foot",Noun,N5
13,猫,ねこ,mèo,cat,Noun,N5
13,犬,いぬ,chó,dog,Noun,N5
13,鳥,とり,chim,bird,Noun,N5
13,魚,さかな,cá,fish,Noun,N5
13,牛,うし,bò,cow,Noun,N5
13,豚,ぶた,heo,pig,Noun,N5
13,鶏,にわとり,gà,chicken,Noun,N5
13,可愛い,かわいい,dễ thương,cute,I-adjective,N5
13,ハンサム,ハンサム,đẹp trai,handsome,Na-adjective,N5
14,開ける,あける,mở,to open,Verb,N5
14,閉める,しめる,đóng,to close,Verb,N5
14,付ける,つける,bật,to turn on,Verb,N5
14,消す,けす,tắt,to turn off,Verb,N5
14,座る,すわる,ngồi,to sit,Verb,N5
14,立つ,たつ,đứng,to stand,Verb,N5
14,使う,つかう,sử dụng,to use,Verb,N5
14,置く,おく,"đặt, để",to put,Verb,N5
14,作る,つくる,"làm, chế tạo",to make,Verb,N5
14,売る,うる,bán,to sell,Verb,N5
14,知る,しる,biết,to know,Verb,N5
14,住む,すむ,"sống, cư trú",to live,Verb,N5
14,研究する,けんきゅうする,nghiên cứu,to research,Verb,N5
14,資料,しりょう,tài liệu,"material, document",Noun,N5
14,カタログ,カタログ,catalogue,catalog,Noun,N5
14,時刻表,じこくひょう,bảng giờ tàu,timetable,Noun,N5
14,服,ふく,quần áo,clothes,Noun,N5
14,製品,せいひん,sản phẩm,product,Noun,N5
14,ソフト,ソフト,phần mềm,software,Noun,N5
14,専門,せんもん,chuyên môn,specialty,Noun,N5
14,歯医者,はいしゃ,nha sĩ,dentist,Noun,N5
14,床屋,とこや,tiệm cắt tóc,barber shop,Noun,N5
14,プレイガイド,プレイガイド,quầy bán vé,ticket agency,Noun,N5
14,独身,どくしん,độc thân,"single, unmarried",Noun,N5
14,特に,とくに,đặc biệt,especially,Adverb,N5
14,思い出す,おもいだす,nhớ ra,to recall,Verb,N5
14,ご家族,ごかぞく,gia đình (kính ngữ),family,Noun,N5
14,僕,ぼく,tôi (nam giới),"I, me",Pronoun,N5
14,君,きみ,"cậu, bạn",you,Pronoun,N5
14,うん,うん,ừ,yeah,Interjection,N5
14,ううん,ううん,không,no,Interjection,N5
14,今度,こんど,"lần này, lần tới","this time, next time",Noun,N5
14,ぜひ,ぜひ,nhất định,"certainly, by all means",Adverb,N5
15,乗る,のる,lên (xe),"to ride, get on",Verb,N5
15,降りる,おりる,xuống (xe),to get off,Verb,N5
15,乗り換える,のりかえる,"chuyển tàu, đổi xe",to transfer,Verb,N5
15,浴びる,あびる,"tắm, tưới","to bathe, shower",Verb,N5
15,入れる,いれる,cho vào,to put in,Verb,N5
15,出す,だす,"lấy ra, gửi ra","to take out, submit",Verb,N5
15,入る,はいる,vào,to enter,Verb,N5
15,出る,でる,ra,"to leave, go out",Verb,N5
15,押す,おす,"ấn, đẩy",to push,Verb,N5
15,飲む,のむ,uống,to drink,Verb,N5
15,始める,はじめる,bắt đầu,to begin,Verb,N5
15,見せる,みせる,cho xem,to show,Verb,N5
15,電話する,でんわする,gọi điện,to call,Verb,N5
15,シャワー,シャワー,vòi sen,shower,Noun,N5
15,緑茶,りょくちゃ,trà xanh,green tea,Noun,N5
15,牛乳,ぎゅうにゅう,sữa bò,milk,Noun,N5
15,お風呂,おふろ,"bồn tắm, phòng tắm",bath,Noun,N5
15,建物,たてもの,tòa nhà,building,Noun,N5
15,薬局,やっきょく,hiệu thuốc,pharmacy,Noun,N5
15,市役所,しやくしょ,tòa thị chính,city hall,Noun,N5
15,プール,プール,hồ bơi,swimming pool,Noun,N5
15,大学,だいがく,trường đại học,university,Noun,N5
15,郵便局,ゆうびんきょく,bưu điện,post office,Noun,N5
15,銀行,ぎんこう,ngân hàng,bank,Noun,N5
15,ATM,エーティーエム,máy ATM,ATM,Noun,N5
15,図書館,としょかん,thư viện,library,Noun,N5
15,コンビニ,コンビニ,cửa hàng tiện lợi,convenience store,Noun,N5
15,喫茶店,きっさてん,quán cà phê,coffee shop,Noun,N5
15,入り口,いりぐち,lối vào,entrance,Noun,N5
15,出口,でぐち,lối ra,exit,Noun,N5
15,お金,おかね,tiền,money,Noun,N5
15,名前,なまえ,tên,name,Noun,N5
15,国,くに,đất nước,country,Noun,N5
15,外国,がいこく,nước ngoài,foreign country,Noun,N5
15,問題,もんだい,vấn đề,problem,Noun,N5
15,答え,こたえ,câu trả lời,answer,Noun,N5
15,読み方,よみかた,cách đọc,reading method,Noun,N5
15,～方,～かた,cách ~,way of ~,Suffix,N5
15,ゆっくり,ゆっくり,chậm rãi,slowly,Adverb,N5
15,すぐ,すぐ,ngay lập tức,immediately,Adverb,N5
15,また,また,"lại, còn nữa","again, also",Adverb,N5
15,後で,あとで,sau đó,later,Adverb,N5
15,もう少し,もうすこし,thêm một chút nữa,a little more,Expression,N5
16,覚える,おぼえる,nhớ,to memorize,Verb,N5
16,忘れる,わすれる,quên,to forget,Verb,N5
16,なくす,なくす,làm mất,to lose,Verb,N5
16,払う,はらう,trả tiền,to pay,Verb,N5
16,返す,かえす,trả lại,to return,Verb,N5
16,出かける,でかける,đi ra ngoài,to go out,Verb,N5
16,脱ぐ,ぬぐ,"cởi (quần áo, giày)",to take off,Verb,N5
16,持って行く,もっていく,mang đi,to take along,Verb,N5
16,持って来る,もってくる,mang đến,to bring,Verb,N5
16,心配する,しんぱいする,lo lắng,to worry,Verb,N5
16,残業する,ざんぎょうする,làm thêm giờ,to work overtime,Verb,N5
16,出張する,しゅっちょうする,đi công tác,to go on business trip,Verb,N5
16,薬を飲む,くすりをのむ,uống thuốc,to take medicine,Expression,N5
16,お風呂に入る,おふろにはいる,tắm,to take a bath,Expression,N5
16,大丈夫 [な],だいじょうぶ [な],"ổn, không sao","alright, okay",Na-adjective,N5
16,危ない,あぶない,nguy hiểm,dangerous,I-adjective,N5
16,大切 [な],たいせつ [な],quan trọng,important,Na-adjective,N5
16,財布,さいふ,ví tiền,wallet,Noun,N5
16,パスポート,パスポート,hộ chiếu,passport,Noun,N5
16,名前,なまえ,tên,name,Noun,N5
16,住所,じゅうしょ,địa chỉ,address,Noun,N5
16,電話番号,でんわばんごう,số điện thoại,telephone number,Noun,N5
16,メガネ,メガネ,kính mắt,glasses,Noun,N5
16,保険証,ほけんしょう,thẻ bảo hiểm,insurance card,Noun,N5
16,エアコン,エアコン,máy điều hòa,air conditioner,Noun,N5
16,電気,でんき,"điện, đèn điện","electricity, light",Noun,N5
16,窓,まど,cửa sổ,window,Noun,N5
16,荷物,にもつ,hành lý,"baggage, luggage",Noun,N5
16,会議,かいぎ,cuộc họp,meeting,Noun,N5
16,禁煙,きんえん,cấm hút thuốc,no smoking,Noun,N5
16,健康,けんこう,sức khỏe,health,Noun,N5
16,熱,ねつ,sốt,fever,Noun,N5
16,病気,びょうき,bệnh,illness,Noun,N5
16,風邪,かぜ,cảm cúm,"cold, flu",Noun,N5
17,要る,いる,cần,to need,Verb,N5
17,調べる,しらべる,"tìm hiểu, kiểm tra",to investigate,Verb,N5
17,修理する,しゅうりする,sửa chữa,to repair,Verb,N5
17,電話をかける,でんわをかける,gọi điện thoại,to make a phone call,Expression,N5
17,僕,ぼく,tôi (nam),"I, me",Pronoun,N5
17,君,きみ,"cậu, bạn",you,Pronoun,N5
17,～君,～くん,"bạn ~, em ~",Mr./boy ~,Suffix,N5
17,うん,うん,ừ,yeah,Interjection,N5
17,ううん,ううん,không,no,Interjection,N5
17,サラリーマン,サラリーマン,nhân viên văn phòng,office worker,Noun,N5
17,言葉,ことば,từ ngữ,"word, language",Noun,N5
17,物価,ぶっか,vật giá,prices,Noun,N5
17,着物,きもの,kimono,kimono,Noun,N5
17,ビザ,ビザ,visa,visa,Noun,N5
17,初め,はじめ,lúc đầu,beginning,Noun,N5
17,終わり,おわり,kết thúc,end,Noun,N5
17,こっち,こっち,phía này,this way,Pronoun,N5
17,そっち,そっち,phía đó,that way,Pronoun,N5
17,あっち,あっち,phía kia,over there,Pronoun,N5
17,どっち,どっち,"phía nào, cái nào",which way,Pronoun,N5
17,この辺,このへん,khu vực này,around here,Noun,N5
17,その辺,そのへん,khu vực đó,around there,Noun,N5
17,あの辺,あのへん,khu vực kia,around over there,Noun,N5
17,どの辺,どのへん,khu vực nào,which area,Noun,N5
17,近所,きんじょ,"hàng xóm, khu lân cận",neighborhood,Noun,N5
17,お祭り,おまつり,lễ hội,festival,Noun,N5
17,お見舞い,おみまい,thăm người bệnh,visiting a sick person,Noun,N5
17,国際～,こくさい～,quốc tế ~,international ~,Prefix,N5
17,宇宙,うちゅう,vũ trụ,"universe, space",Noun,N5
17,怖い,こわい,đáng sợ,scary,I-adjective,N5
18,洗濯する,せんたくする,giặt giũ,to do laundry,Verb,N5
18,掃除する,そうじする,dọn dẹp,to clean,Verb,N5
18,料理する,りょうりする,nấu ăn,to cook,Verb,N5
18,買い物する,かいものする,mua sắm,to shop,Verb,N5
18,散歩する,さんぽする,đi dạo,to take a walk,Verb,N5
18,コピーする,コピーする,photocopy,to copy,Verb,N5
18,結婚する,けっこんする,kết hôn,to marry,Verb,N5
18,食事,しょくじ,bữa ăn,meal,Noun,N5
18,洗濯,せんたく,giặt giũ,laundry,Noun,N5
18,掃除,そうじ,dọn dẹp,cleaning,Noun,N5
18,料理,りょうり,"nấu ăn, món ăn","cooking, cuisine",Noun,N5
18,買い物,かいもの,mua sắm,shopping,Noun,N5
18,散歩,さんぽ,đi dạo,"walk, stroll",Noun,N5
18,ご飯,ごはん,"cơm, bữa ăn","rice, meal",Noun,N5
18,朝ご飯,あさごはん,bữa sáng,breakfast,Noun,N5
18,昼ご飯,ひるごはん,bữa trưa,lunch,Noun,N5
18,晩ご飯,ばんごはん,bữa tối,dinner,Noun,N5
18,家事,かじ,việc nhà,housework,Noun,N5
18,毎週,まいしゅう,mỗi tuần,every week,Noun,N5
18,毎月,まいつき,mỗi tháng,every month,Noun,N5
18,毎年,まいとし / まいねん,mỗi năm,every year,Noun,N5
18,週末,しゅうまつ,cuối tuần,weekend,Noun,N5
18,平日,へいじつ,ngày thường,weekday,Noun,N5
18,忙しい,いそがしい,bận rộn,busy,I-adjective,N5
19,登る,のぼる,"leo, trèo",to climb,Verb,N5
19,泊まる,とまる,ở trọ,to stay overnight,Verb,N5
19,疲れる,つかれる,mệt,to get tired,Verb,N5
19,結婚する,けっこんする,kết hôn,to marry,Verb,N5
19,買い物する,かいものする,mua sắm,to shop,Verb,N5
19,食事する,しょくじする,dùng bữa,to have a meal,Verb,N5
19,観光する,かんこうする,tham quan,to sightsee,Verb,N5
19,スキー,スキー,trượt tuyết,skiing,Noun,N5
19,会議,かいぎ,cuộc họp,meeting,Noun,N5
19,登山,とざん,leo núi,mountain climbing,Noun,N5
19,ホテル,ホテル,khách sạn,hotel,Noun,N5
19,温泉,おんせん,suối nước nóng,hot spring,Noun,N5
19,海外,かいがい,nước ngoài,overseas,Noun,N5
19,山,やま,núi,mountain,Noun,N5
19,海,うみ,biển,sea,Noun,N5
19,疲れた,つかれた,mệt rồi,tired,Expression,N5
19,楽しかった,たのしかった,đã vui,was fun,Expression,N5
20,要る,いる,cần,to need,Verb,N5
20,調べる,しらべる,tìm hiểu,to investigate,Verb,N5
20,修理する,しゅうりする,sửa chữa,to repair,Verb,N5
20,電話する,でんわする,gọi điện,to call,Verb,N5
20,サラリーマン,サラリーマン,nhân viên văn phòng,office worker,Noun,N5
20,言葉,ことば,từ ngữ,"word, language",Noun,N5
20,物価,ぶっか,vật giá,prices,Noun,N5
20,着物,きもの,kimono,kimono,Noun,N5
20,ビザ,ビザ,visa,visa,Noun,N5
20,初め,はじめ,lúc đầu,beginning,Noun,N5
20,終わり,おわり,kết thúc,end,Noun,N5
20,近所,きんじょ,khu lân cận,neighborhood,Noun,N5
20,お祭り,おまつり,lễ hội,festival,Noun,N5
20,お見舞い,おみまい,thăm người bệnh,visiting a sick person,Noun,N5
20,宇宙,うちゅう,vũ trụ,universe,Noun,N5
20,怖い,こわい,đáng sợ,scary,I-adjective,N5
20,特に,とくに,đặc biệt,especially,Adverb,N5
20,ぜひ,ぜひ,nhất định,certainly,Adverb,N5
20,今度,こんど,lần tới,next time,Noun,N5
21,思う,おもう,nghĩ,to think,Verb,N5
21,言う,いう,nói,to say,Verb,N5
21,勝つ,かつ,thắng,to win,Verb,N5
21,負ける,まける,thua,to lose,Verb,N5
21,役に立つ,やくにたつ,có ích,to be useful,Expression,N5
21,動く,うごく,chuyển động,to move,Verb,N5
21,やめる,やめる,"bỏ, nghỉ",to quit,Verb,N5
21,気をつける,きをつける,"chú ý, cẩn thận",to be careful,Expression,N5
21,留学する,りゅうがくする,du học,to study abroad,Verb,N5
21,無駄 [な],むだ [な],vô ích,useless,Na-adjective,N5
21,不便 [な],ふべん [な],bất tiện,inconvenient,Na-adjective,N5
21,すごい,すごい,tuyệt vời,amazing,I-adjective,N5
21,本当,ほんとう,thật sự,"truth, really",Noun,N5
21,嘘,うそ,lời nói dối,lie,Noun,N5
21,自動車,じどうしゃ,ô tô,automobile,Noun,N5
21,交通,こうつう,giao thông,"traffic, transportation",Noun,N5
21,物価,ぶっか,vật giá,prices,Noun,N5
21,放送,ほうそう,phát sóng,broadcast,Noun,N5
22,着る,きる,mặc,to wear,Verb,N5
22,はく,はく,mang (giày/quần),to wear,Verb,N5
22,かぶる,かぶる,đội (mũ),to wear,Verb,N5
22,する,する,đeo,to wear,Verb,N5
22,生まれる,うまれる,được sinh ra,to be born,Verb,N5
22,コート,コート,áo khoác,coat,Noun,N5
22,スーツ,スーツ,bộ vest,suit,Noun,N5
22,セーター,セーター,áo len,sweater,Noun,N5
22,帽子,ぼうし,mũ,hat,Noun,N5
22,メガネ,メガネ,kính,glasses,Noun,N5
22,ケーキ,ケーキ,bánh ngọt,cake,Noun,N5
22,ロボット,ロボット,robot,robot,Noun,N5
22,ユーモア,ユーモア,hài hước,humor,Noun,N5
22,都合,つごう,sự thuận tiện,convenience,Noun,N5
22,よく,よく,"thường, rõ","well, often",Adverb,N5
22,たいてい,たいてい,thường thường,usually,Adverb,N5
22,それに,それに,hơn nữa,moreover,Conjunction,N5
22,このごろ,このごろ,dạo gần đây,these days,Noun,N5
22,やっと,やっと,cuối cùng,finally,Adverb,N5
22,かなり,かなり,khá,fairly,Adverb,N5
22,必ず,かならず,nhất định,certainly,Adverb,N5
22,絶対に,ぜったいに,tuyệt đối,absolutely,Adverb,N5
22,上着,うわぎ,áo khoác ngoài,jacket,Noun,N5
22,ズボン,ズボン,quần,trousers,Noun,N5
22,スカート,スカート,váy,skirt,Noun,N5
22,靴,くつ,giày,shoes,Noun,N5
22,靴下,くつした,tất,socks,Noun,N5
22,ネクタイ,ネクタイ,cà vạt,necktie,Noun,N5
22,指輪,ゆびわ,nhẫn,ring,Noun,N5
22,時計,とけい,đồng hồ,watch,Noun,N5
22,化粧,けしょう,trang điểm,makeup,Noun,N5
23,聞こえる,きこえる,nghe thấy,to be heard,Verb,N5
23,見える,みえる,nhìn thấy,to be visible,Verb,N5
23,できる,できる,có thể,"can, be able to",Verb,N5
23,開く,ひらく,mở,to open,Verb,N5
23,閉まる,しまる,đóng,to close,Verb,N5
23,点く,つく,bật lên,to be turned on,Verb,N5
23,消える,きえる,"tắt, biến mất","to go out, disappear",Verb,N5
23,壊れる,こわれる,hỏng,to break,Verb,N5
23,割れる,われる,vỡ,"to break, crack",Verb,N5
23,折れる,おれる,gãy,"to break, snap",Verb,N5
23,汚れる,よごれる,bị bẩn,to get dirty,Verb,N5
23,付く,つく,được gắn,to be attached,Verb,N5
23,外れる,はずれる,"bị tuột, rời ra",to come off,Verb,N5
23,止まる,とまる,dừng,to stop,Verb,N5
23,間違える,まちがえる,làm sai,to make a mistake,Verb,N5
23,落とす,おとす,làm rơi,to drop,Verb,N5
23,掛かる,かかる,khóa,to be locked,Verb,N5
23,汚い,きたない,bẩn,dirty,I-adjective,N5
23,面白い,おもしろい,thú vị,interesting,I-adjective,N5
23,つまらない,つまらない,chán,boring,I-adjective,N5
23,変 [な],へん [な],kỳ lạ,strange,Na-adjective,N5
23,幸せ [な],しあわせ [な],hạnh phúc,happy,Na-adjective,N5
23,ああ,ああ,"à, ôi",ah,Interjection,N5
24,くれる,くれる,cho (tôi),to give,Verb,N5
24,連れて行く,つれていく,dẫn đi,to take along,Verb,N5
24,連れて来る,つれてくる,dẫn đến,to bring along,Verb,N5
24,送る,おくる,"tiễn, gửi",to send,Verb,N5
24,紹介する,しょうかいする,giới thiệu,to introduce,Verb,N5
24,案内する,あんないする,hướng dẫn,to guide,Verb,N5
24,説明する,せつめいする,giải thích,to explain,Verb,N5
24,おじいさん,おじいさん,ông,grandfather,Noun,N5
24,おばあさん,おばあさん,bà,grandmother,Noun,N5
24,準備,じゅんび,chuẩn bị,preparation,Noun,N5
24,引っ越し,ひっこし,chuyển nhà,moving house,Noun,N5
24,お菓子,おかし,bánh kẹo,sweets,Noun,N5
24,全部,ぜんぶ,toàn bộ,all,Noun,N5
24,自分で,じぶんで,tự mình,by oneself,Expression,N5
24,他に,ほかに,ngoài ra,besides,Adverb,N5
25,考える,かんがえる,suy nghĩ,to think,Verb,N5
25,着く,つく,đến nơi,to arrive,Verb,N5
25,留学する,りゅうがくする,du học,to study abroad,Verb,N5
25,取る,とる,lấy,to take,Verb,N5
25,田舎,いなか,quê,countryside,Noun,N5
25,大使館,たいしかん,đại sứ quán,embassy,Noun,N5
25,グループ,グループ,nhóm,group,Noun,N5
25,チャンス,チャンス,cơ hội,chance,Noun,N5
25,億,おく,một trăm triệu,one hundred million,Noun,N5
25,もし,もし,nếu,if,Conjunction,N5
25,転勤,てんきん,chuyển công tác,job transfer,Noun,N5
25,こと,こと,việc,"thing, matter",Noun,N5
25,一杯飲みましょう,いっぱいのみましょう,uống một ly nhé,let's have a drink,Expression,N5
