Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,代,Đại,"か.わる・か.える","ダイ・タイ",Thay thế/Thời đại,代わる【かわる】thay thế,時代【じだい】thời đại,交代【こうたい】giao ca,Người (亻) cầm cái cọc thay thế người khác,5,N4,,人
,送,Tống,"おく.る","ソウ",Gửi đi,送る【おくる】gửi,見送る【みおくる】tiễn,送信【そうしん】gửi tin nhắn,Đốt lửa tống tiễn (辶) người đi,9,N4,,辵
,走,Tẩu,"はし.る","ソウ",Chạy,走る【はしる】chạy,ごちそう【ごちそう】bữa ăn ngon,競争【きょうそう】cạnh tranh,Chạy trên đất (土) bằng đôi chân,7,N4,,走
,考,Khảo,"かんが.える","コウ",Suy nghĩ,考える【かんがえる】suy nghĩ,思考【しこう】tư duy,参考【さんこう】tham khảo,Ông lão (老) đang dùng suy nghĩ,6,N4,,老
,決,Quyết,"き.める・き.まる","ケツ",Quyết định,決める【きめる】quyết định,決して【けっして】tuyệt đối không,決定【けってい】quyết định,Nước (氵) chảy cắt ngang là quyết định,7,N4,,水
,知,Tri,"し.る","チ",Biết,知る【しる】biết,知らせる【しらせる】thông báo,知識【ちしき】kiến thức,Miệng (口) nói nhanh như mũi tên (矢) vì biết,8,N4,,矢
,存,Tồn,"","ソン・ゾン",Tồn tại,ご存知【ごぞんじ】biết (kính ngữ),存在【そんざい】tồn tại,保存【ほぞん】bảo quản,Trẻ em (子) dưới sự bảo vệ để tồn tại,6,N4,,子
,申,Thân,"もう.す","シン",Xưng tên/Nói,申す【もうす】nói (khiêm nhường),申し上げる【もうしあげる】nói (kính ngữ),申請【しんせい】xin/đăng ký,Thanh gỗ xuyên thẳng qua ruộng (田) để xưng tên,5,N4,,田
,御,Ngự,"お・おん","ギョ・ゴ",Ngự (Kính ngữ),ご飯【ごはん】cơm,御手洗い【おてあらい】nhà vệ sinh,御中【おんちゅう】kính gửi,Người (彳) điều khiển ngựa để ngự giá,12,N4,,彳
,服,Phục,"","フク",Quần áo,服【ふく】quần áo,洋服【ようふく】Âu phục,制服【せいふく】đồng phục,Cơ thể (月) người mặc quần áo,8,N4,,月
,痛,Thống,"いた.い・いた.む","ツウ",Đau,痛い【いたい】đau,痛み【いたみ】nỗi đau,頭痛【ずつう】đau đầu,Bệnh tật (疒) đi qua cơ thể gây đau,12,N4,,疒
,信,Tín,"","シン",Tin tưởng,信じる【しんじる】tin tưởng,信号【しんごう】đèn giao thông,自信【じしん】tự tin,Người (亻) nói lời (言) đáng tin cậy,9,N4,,人
,記,Ký,"しる.す","キ",Ghi nhớ,日記【にっき】nhật ký,記事【きじ】bài báo,記入【きにゅう】điền vào,Dùng lời nói (言) ghi lại vào bản kỷ (己),10,N4,,言
,短,Đoản,"みじか.い","タン",Ngắn,短い【みじかい】ngắn,短所【たんしょ】sở đoản,短期【たんき】ngắn hạn,Mũi tên (矢) bắn trúng hạt đậu ở cự ly ngắn,12,N4,,矢
,低,Đê,"ひく.い","テイ",Thấp,低い【ひくい】thấp,低下【ていか】suy giảm,最低【さいてい】tồi tệ nhất,Người (亻) cúi xuống rất thấp,7,N4,,人
,引,Dẫn,"ひ.く・ひ.ける","イン",Kéo,引く【ひく】kéo,引き出し【ひきだし】ngăn kéo,割引【わりびき】giảm giá,Kéo căng cây cung (弓) bằng một nét thẳng,4,N4,,弓
,声,Thanh,"こえ","セイ・ショウ",Giọng nói,声【こえ】giọng nói,大声【おおごえ】giọng to,音声【おんせい】âm thanh,Sĩ (士) cầm gậy đánh phát ra âm thanh,7,N4,,士
,薬,Dược,"くすり","ヤク",Thuốc,薬【くすり】thuốc,薬局【やっきょく】hiệu thuốc,目薬【めぐすり】thuốc nhỏ mắt,Cỏ (艹) mang lại niềm vui (楽) là thuốc,16,N4,,艸
,局,Cục,"","キョク",Cục/Trạm,薬局【やっきょく】hiệu thuốc,郵便局【ゆうびんきょく】bưu điện,結局【けっきょく】kết cục,Thi thể (尸) được bọc gọn trong câu cú (句),7,N4,,尸
,洋,Dương,"","ヨウ",Đại dương/Tây,洋服【ようふく】Âu phục,西洋【せいよう】phương Tây,洋食【ようしょく】món ăn Tây,Con cừu (羊) bơi qua vùng nước (氵) đại dương,9,N4,,水
,和,Hòa,"やわ.らぐ・なご.む","ワ・オ",Hòa bình/Nhật Bản,和室【わしつ】phòng Nhật,平和【へいわ】hòa bình,和食【わしょく】món ăn Nhật,Mọi người chia nhau (口) hạt lúa (禾) sống hòa bình,8,N4,,口
,堂,Đường,"","ドウ",Hội trường,食堂【しょくどう】nhà ăn,公会堂【こうかいどう】tòa thị chính,堂々【どうどう】đường hoàng,Ngôi nhà cao xây trên đất (土) là hội trường,11,N4,,土
,産,Sản,"う.む・う.まれる","サン",Sản xuất,生産【せいさん】sản xuất,お土産【おみやげ】đặc sản,産業【さんぎょう】công nghiệp,Đứng (立) trên sườn núi sinh (生) ra sản phẩm,11,N4,,生
,死,Tử,"し.ぬ","シ",Chết,死ぬ【しぬ】chết,死体【したい】thi thể,必死【ひっし】quyết tâm,Xương cốt (歹) bị chôn vùi khi chết,6,N4,,歹
,亡,Vong,"な.くなる・な.い","ボウ・モウ",Mất/Tử vong,亡くなる【なくなる】mất/chết,死亡【しぼう】tử vong,亡命【ぼうめい】lưu vong,Người ẩn nấp (乚) dưới nắp đã mất tích,3,N4,,亠
,忙,Mang,"いそが.しい","ボウ",Bận rộn,忙しい【いそがしい】bận rộn,多忙【たぼう】rất bận rộn,大忙し【おおいそがし】vô cùng bận,Trái tim (忄) bận rộn đến mức quên mất (亡),6,N4,,心
,忘,Vong,"わす.れる","ボウ",Quên,忘れる【わすれる】quên,忘れ物【わすれもの】đồ bỏ quên,忘年会【ぼうねんかい】tiệc tất niên,Trái tim (心) làm mất (亡) trí nhớ nên quên,7,N4,,心
,悲,Bi,"かな.しい・かな.しむ","ヒ",Buồn,悲しい【かなしい】buồn,悲鳴【ひめい】tiếng la hét,悲劇【ひげき】bi kịch,Trái tim (心) bị chia cắt (非) sinh ra buồn bã,12,N4,,心
,泣,Khấp,"な.く","キュウ",Khóc,泣く【なく】khóc,号泣【ごうきゅう】khóc nức nở,泣き声【なきごえ】tiếng khóc,Nước (氵) mắt rơi khi đứng (立) khóc,8,N4,,水
,笑,Tiếu,"わら.う・え.む","ショウ",Cười,笑う【わらう】cười,笑顔【えがお】khuôn mặt tươi cười,爆笑【ばくしょう】cười phá lên,Gió thổi qua bụi trúc (竹) giống như tiếng cười,10,N4,,竹
,怒,Nộ,"いか.る・おこ.る","ド・ヌ",Tức giận,怒る【おこる】tức giận,怒り【いかり】cơn giận,激怒【げきど】nổi trận lôi đình,Trái tim (心) nô lệ nổi giận,9,N4,,心
,覚,Giác,"おぼ.える・さ.める","カク",Nhớ/Thức giấc,覚える【おぼえる】nhớ,目を覚ます【めをさます】thức giấc,感覚【かんかく】cảm giác,Mở to mắt (見) học tập (学) để ghi nhớ,12,N4,,見
,育,Dục,"そだ.つ・そだ.てる","イク",Nuôi dưỡng,育てる【そだてる】nuôi dưỡng,教育【きょういく】giáo dục,体育【たいいく】thể dục,Trẻ em được sinh ra từ bụng (月) để nuôi lớn,8,N4,,肉
,若,Nhược,"わか.い・もしくわ","ジャク・ニャク",Trẻ,若い【わかい】trẻ,若者【わかもの】người trẻ,若葉【わかば】lá non,Tay (右) hái cỏ (艹) non mọc lên rất trẻ trung,8,N4,,艸
,老,Lão,"お.いる・ふ.ける","ロウ",Già,老人【ろうじん】người già,老後【ろうご】tuổi già,敬老【けいろう】kính lão,Người chống gậy và dùng thìa (匕) là người già,6,N4,,老
,頭,Đầu,"あたま・かしら","トウ・ズ",Cái đầu,頭【あたま】đầu,頭痛【ずつう】đau đầu,先頭【せんとう】dẫn đầu,Hạt đậu (豆) nằm trên đầu (頁),16,N4,,頁
,顔,Nhan,"かお","ガン",Khuôn mặt,顔【かお】khuôn mặt,笑顔【えがお】khuôn mặt tươi cười,洗顔【せんがん】rửa mặt,Đầu (頁) có nhiều nếp nhăn trên mặt,18,N4,,頁
,首,Thủ,"くび","シュ",Cái cổ,首【くび】cổ,手首【てくび】cổ tay,首都【しゅと】thủ đô,Mắt (目) gắn với tóc vươn lên trên cổ,9,N4,,首
,心,Tâm,"こころ","シン",Trái tim,心【こころ】trái tim,安心【あんしん】an tâm,心配【しんぱい】lo lắng,Hình ảnh tượng hình của trái tim có 3 cuống,4,N4,,心
,注,Chú,"そそ.ぐ","チュウ",Rót/Chú ý,注意【ちゅうい】chú ý,注文【ちゅうもん】gọi món,注射【ちゅうしゃ】tiêm,Nước (氵) rót từ đồ vật của chủ nhân (主),8,N4,,水
,文,Văn,"ふみ","ブン・モン",Văn bản,作文【さくぶん】bài văn,文学【ぶんがく】văn học,文字【もじ】chữ cái,Đường nét hoa văn được khắc trên bề mặt,4,N4,,文
,字,Tự,"","ジ",Chữ,漢字【かんじ】chữ Hán,文字【もじ】chữ cái,赤字【あかじ】chữ đỏ/lỗ,Đứa trẻ (子) dưới mái nhà (宀) đang học chữ,6,N4,,子
,以,Dĩ,"もっ.て","イ",Lấy làm mốc,以上【いじょう】trở lên,以下【いか】trở xuống,以外【いがい】ngoài ra,Cày cấy bằng cày để lấy (以) mốc,5,N4,,人
,内,Nội,"うち","ナイ・ダイ",Bên trong,内【うち】bên trong,家内【かない】vợ,案内【あんない】hướng dẫn,Người (人) đi vào trong biên giới (冂),4,N4,,冂
,台,Đài,"","ダイ・タイ",Cái bục/Cỗ,台風【たいふう】bão,台所【だいどころ】nhà bếp,一台【いちだい】một chiếc (xe),Cái miệng (口) đặt trên bục (厶) cao,5,N4,,口
,去,Khứ,"さ.る","キョ・コ",Quá khứ/Rời đi,去年【きょねん】năm ngoái,過去【かこ】quá khứ,去る【さる】rời đi,Bỏ miếng đất (土) riêng tư (厶) rời đi,5,N4,,厶
,色,Sắc,"いろ","ショク・シキ",Màu sắc,色【いろ】màu sắc,景色【けしき】phong cảnh,特色【とくしょく】đặc sắc,Hai người dựa vào nhau khoe sắc màu,6,N4,,色
,黄,Hoàng,"き・こ","コウ・オウ",Màu vàng,黄色【きいろ】màu vàng,黄金【おうごん】vàng bạc,黄身【きみ】lòng đỏ trứng,Mũi tên bắn xuyên cánh đồng (田) cỏ vàng,11,N4,,黄
,黒,Hắc,"くろ・くろ.い","コク",Màu đen,黒い【くろい】đen,真っ黒【まっくろ】đen thui,黒板【こくばん】bảng đen,Ngôi làng (里) bị lửa (灬) đốt thành tro đen,11,N4,,黒
,青,Thanh,"あお・あお.い","セイ・ショウ",Màu xanh,青い【あおい】xanh,青年【せいねん】thanh niên,真っ青【まっさお】xanh lè,Mặt trăng (月) chiếu lên giếng nước xanh,8,N4,,青
,赤,Xích,"あか・あか.い","セキ・シャク",Màu đỏ,赤い【あかい】đỏ,赤ちゃん【あかちゃん】em bé,真っ赤【まっか】đỏ chót,Lửa (灬) đốt vùng đất (土) trở nên đỏ rực,7,N4,,赤
,白,Bạch,"しろ・しろ.い","ハク・ビャク",Màu trắng,白い【しろい】trắng,真っ白【まっしろ】trắng toát,白鳥【はくちょう】thiên nga,Mặt trời (日) mọc ló lên một vạch sáng trắng,5,N4,,白
,飯,Phạn,"めし","ハン",Cơm/Bữa ăn,ご飯【ごはん】cơm,夕飯【ゆうはん】bữa tối,昼飯【ひるめし】bữa trưa,Ăn (食) phản (反) lại cơm,12,N4,,食
,肉,Nhục,"にく","ニク",Thịt,肉【にく】thịt,牛肉【ぎゅうにく】thịt bò,豚肉【ぶたにく】thịt lợn,Hai người (人) trong cửa (冂) ăn thịt,6,N4,,肉
,客,Khách,"","キャク・カク",Hành khách,お客様【おきゃくさま】quý khách,乗客【じょうきゃく】hành khách,客室【きゃくしつ】phòng khách,Mỗi (各) người dưới mái nhà (宀) là khách,9,N4,,宀
,仕,Sĩ,"つか.える","シ・ジ",Phục vụ/Công việc,仕事【しごと】công việc,仕方【しかた】cách làm,仕える【つかえる】phục vụ,Người (亻) phục vụ như một kẻ sĩ (士),5,N4,,人
,事,Sự,"こと","ジ・ズ",Sự việc,仕事【しごと】công việc,食事【しょくじ】bữa ăn,火事【かじ】hỏa hoạn,Cắm cây cờ (亅) vào miệng (口) tuyên bố sự việc,8,N4,,亅
,者,Giả,"もの","シャ",Người,医者【いしゃ】bác sĩ,若者【わかもの】người trẻ,学者【がくしゃ】học giả,Ông lão (老) dạy (日) cho người trẻ,8,N4,,老
,商,Thương,"あきな.う","ショウ",Thương mại,商業【しょうぎょう】thương nghiệp,商品【しょうひん】sản phẩm,商店【しょうてん】cửa hàng,Đứng (立) nói (口) trên bục (冂) để bán hàng,11,N4,,口
,動,Động,"うご.く・うご.かす","ドウ",Vận động,動物【どうぶつ】động vật,運動【うんどう】vận động,自動車【じどうしゃ】ô tô,Dùng sức lực (力) làm cái bao nặng chuyển động,11,N4,,力
,公,Công,"おおやけ","コウ",Công cộng,公園【こうえん】công viên,公務員【こうむいん】viên chức,公共【こうきょう】công cộng,Chia đều (八) đồ tư (厶) làm đồ công,4,N4,,八
,園,Viên,"その","エン",Công viên/Vườn,公園【こうえん】công viên,動物園【どうぶつえん】sở thú,遊園地【ゆうえんち】khu vui chơi,Khu vực (囗) mặc quần áo (衣) dài dạo vườn,13,N4,,囗
,市,Thị,"いち","シ",Thành phố/Chợ,市民【しみん】người dân,市場【いちば】chợ,市長【しちょう】thị trưởng,Mũ (亠) và khăn (巾) được đem bán ở chợ,5,N4,,巾
,村,Thôn,"むら","ソン",Thôn làng,村【むら】thôn làng,村長【そんちょう】trưởng thôn,農村【のうそん】nông thôn,Cây (木) đo bằng thốn (寸) để xây làng,7,N4,,木
,区,Khu,"","ク",Khu vực,区役所【くやくしょ】ủy ban quận,区分【くぶん】phân loại,地区【ちく】khu vực,Đánh dấu X phân chia khu vực (匚),4,N4,,匚
,県,Huyện,"","ケン",Huyện/Tỉnh,県知事【けんちじ】tỉnh trưởng,県庁【けんちょう】ủy ban tỉnh,都道府県【とどうふけん】các tỉnh,Mắt (目) nhìn cái cây tơ (糸) treo ở huyện nhỏ,9,N4,,糸
,京,Kinh,"","キョウ・ケイ",Kinh đô,東京【とうきょう】Tokyo,上京【じょうきょう】lên Tokyo,京都市【きょうとし】thành phố Kyoto,Mái nhà (亠) cao ở trung tâm (口) kinh đô,8,N4,,亠
,都,Đô,"みやこ","ト・ツ",Thủ đô,都市【とし】đô thị,首都【しゅと】thủ đô,都合【つごう】thuận tiện,Người đứng (者) ở vùng đất (阝) thủ đô,11,N4,,邑
,府,Phủ,"","フ",Phủ/Cơ quan,政府【せいふ】chính phủ,大阪府【おおさかふ】phủ Osaka,京都府【きょうとふ】phủ Kyoto,Mái nhà (广) có trao đồ (付) là cơ quan phủ,8,N4,,广
,道,Đạo,"みち","ドウ・ト",Con đường,道【みち】con đường,水道【すいどう】nước máy,道路【どうろ】đường sá,Cái đầu (首) nhìn về phía đường đi (辶),12,N4,,辵
,通,Thông,"とお.る・かよ.う","ツウ",Đi qua/Thông qua,通る【とおる】đi qua,通う【かよう】lui tới,交通【こうつう】giao thông,Dùng sức lực (甬) đi (辶) xuyên qua,10,N4,,辵
,交,Giao,"まじ.わる・ま.ざる","コウ",Giao nhau,交通【こうつう】giao thông,交番【こうばん】bốt cảnh sát,外交【がいこう】ngoại giao,Bố (父) đội mũ (亠) đi giao lưu,6,N4,,亠
,疲,Bì,"つか.れる","ヒ",Mệt mỏi,疲れる【つかれる】mệt mỏi,疲れ【つかれ】sự mệt mỏi,疲労【ひろう】mệt nhọc,Bệnh (疒) làm tổn thương da (皮) gây mệt mỏi,10,N4,,疒
,弱,Nhược,"よわ.い・よわ.まる","ジャク・ニャク",Yếu,弱い【よわい】yếu,弱点【じゃくてん】điểm yếu,弱虫【よわむし】kẻ nhu nhược,Cây cung (弓) bị đóng băng (冫) thì yếu đi,10,N4,,弓
,広,Quảng,"ひろ.い・ひろ.まる","コウ",Rộng,広い【ひろい】rộng,広場【ひろば】quảng trường,広告【こうこく】quảng cáo,Mái nhà (广) riêng tư (厶) rất rộng rãi,5,N4,,广
